VOTI 33° GIORNATA CAMPIONATO 2013-2014,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COM i voti alle prime luci dell'alba,,,,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTAGAZZETTA.COM,,,,,,,,,,,,,,,
ATALANTA,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
734,ALL,SAKIC,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
SASSUOLO,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
658,P,PEGOLO,"6,02",0,1,0,0,0,0,0,0,0,0,0,0
58,D,ARIAUDO,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
426,D,ANTEI,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
431,D,GAZZOLA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
435,D,LONGHI,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
162,C,BIONDINI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
436,C,MAGNANELLI,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
439,C,MISSIROLI,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
167,A,FLORO FLORES,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
252,A,FLOCCARI,6*,0,0,0,0,0,0,0,0,0,0,0,0
369,A,SANSONE N.,"6,03",0,0,0,0,0,0,0,0,1,0,0,0
427,A,BERARDI D.,"5,51",0,0,0,0,0,0,1,0,0,0,0,0
438,A,MASUCCI,6*,0,0,0,0,0,0,0,0,0,0,0,0
447,A,ZAZA,"6,53",1,0,0,0,0,0,0,0,0,0,0,0
629,ALL,DI FRANCESCO,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
TORINO,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
469,P,PADELLI,"6,52",0,1,0,0,0,0,0,0,0,0,0,0
451,D,BOVO,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
461,D,GLIK,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
465,D,MAKSIMOVIC,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
468,D,MORETTI,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
728,D,VESOVIC,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
449,C,BASHA,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
453,C,CERCI,"7,04",1,0,0,0,0,0,1,0,0,0,1,0
457,C,EL KADDOURI,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
459,C,GAZZI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
471,C,VIVES,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
448,A,BARRETO,6*,0,0,0,0,0,0,0,0,0,0,0,0
463,A,IMMOBILE,"7,54",1,0,0,0,0,0,1,0,0,0,0,0
467,A,MEGGIORINI,6*,0,0,0,0,0,0,0,0,0,0,0,0
630,ALL,VENTURA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
UDINESE,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
727,P,SCUFFET,"5,51",0,2,0,0,0,0,0,0,0,0,0,0
475,D,BASTA,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
481,D,DANILO,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
483,D,DOMIZZI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
485,D,GABRIEL SILVA,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
486,D,HEURTAUX,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
473,C,ALLAN,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
484,C,FERNANDES,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
499,C,PEREYRA,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
703,C,YEBDA,"4,5",0,0,0,0,0,0,0,0,0,0,0,0
482,A,DI NATALE,"5,02",0,0,0,0,0,0,0,0,0,0,0,0
490,A,LOPEZ,6*,0,0,0,0,0,0,0,0,0,0,0,0
494,A,MURIEL,"6,03",0,0,0,0,0,0,0,0,0,0,0,0
631,ALL,GUIDOLIN,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
VERONA HELLAS,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
526,P,RAFAEL,"4,51",0,5,0,0,0,0,0,0,0,0,0,0
507,D,AGOSTINI,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
510,D,CACCIATORE,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
522,D,MAIETTA,"5,01",0,0,0,0,0,0,1,0,0,0,0,0
524,D,MORAS,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
718,D,PILLUD,6*,0,0,0,0,0,0,0,0,0,0,0,0
326,C,DONADEL,"5,01",0,0,0,0,0,0,0,1,0,0,0,0
388,C,MARQUINHO,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
512,C,CIRIGLIANO,6*,0,0,0,0,0,0,0,0,0,0,0,0
517,C,HALLFREDSSON,"5,02",0,0,0,0,0,0,0,0,0,0,0,0
527,C,SALA,"6,03",1,0,0,0,0,0,1,0,0,0,0,0
530,A,TONI,"7,04",0,0,0,0,1,0,0,0,0,0,0,0
656,A,ITURBE,"6,53",1,0,0,0,0,0,0,0,0,0,0,0
612,ALL,MANDORLINI,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
WWW.FANTAGAZZETTA.COM,,,,,,,,,,,,,,,
